alpha,mse_ganite_α5,mse_ganite_α6,mse_ganite_α7,mse_ganite_α8,mse_cate
0.0,7.502256945645044,7.63832313823866,7.715988373852654,8.687687903834307,9.021657949324826
0.1,7.223419459011077,7.75092788236213,7.709208973376908,8.558199289822857,8.960662025640538
0.2,7.39650221910451,8.123065295832838,7.831173546294033,8.52162598163281,8.751582003739417
0.30000000000000004,7.722334764803949,7.622341029997975,7.6626125947973875,8.565209122850524,8.5511437213456
0.4,7.646818226678704,7.625256640621282,7.597084616933552,8.88030670572035,8.464766935562604
0.5,7.526933629896398,7.772218796549304,7.772755506522516,8.359035261250119,7.891281416897741
0.6000000000000001,7.91295637912816,7.7056334628172625,8.162522905943211,7.816811385883689,7.64311028792274
0.7000000000000001,8.338816391373717,7.728730218513672,7.600995614905533,8.409364169794058,7.310244325879174
0.8,8.040860672045055,7.9967303069650075,8.111044198528944,8.171188702433794,7.27107813891524
0.9,7.9162098940355055,8.133384429407807,8.398820536065502,7.783643131622415,7.5338620219903785
1.0,8.043440901960784,8.043440901960784,8.043440901960784,8.043440901960784,8.043440901960784
