alpha,mse_baseline,accuracy_baseline,mse_cate,accuracy_cate,mse_purebaseline,accuracy_purebaseline
0.0,0.0728438828747366,0.9117647058823529,0.15323905542536956,0.5980392156862745,0.0728438828747366,0.9117647058823529
0.1,0.0728438828747366,0.9117647058823529,0.13949803077789685,0.8431372549019608,0.0728438828747366,0.9117647058823529
0.2,0.0728438828747366,0.9117647058823529,0.1253492685984079,0.8725490196078431,0.0728438828747366,0.9117647058823529
0.30000000000000004,0.0728438828747366,0.9117647058823529,0.11337878788133596,0.8823529411764706,0.0728438828747366,0.9117647058823529
0.4,0.0728438828747366,0.9117647058823529,0.10318808005610698,0.8823529411764706,0.0728438828747366,0.9117647058823529
0.5,0.0728438828747366,0.9117647058823529,0.0936744556761235,0.9019607843137255,0.0728438828747366,0.9117647058823529
0.6000000000000001,0.0728438828747366,0.9117647058823529,0.08676047992810186,0.9019607843137255,0.0728438828747366,0.9117647058823529
0.7000000000000001,0.0728438828747366,0.9117647058823529,0.08070968640345229,0.9117647058823529,0.0728438828747366,0.9117647058823529
0.8,0.0728438828747366,0.9117647058823529,0.07602686142663956,0.9019607843137255,0.0728438828747366,0.9117647058823529
0.9,0.0728438828747366,0.9117647058823529,0.07296022994988352,0.9019607843137255,0.0728438828747366,0.9117647058823529
1.0,0.0728438828747366,0.9117647058823529,0.0728438828747366,0.9117647058823529,0.0728438828747366,0.9117647058823529
