alpha,accuracy_baseline,accuracy_cate,accuracy_purebaseline
0.0,0.6966666666666667,0.6966666666666667,0.6966666666666667
0.1,0.6966666666666667,0.6066666666666667,0.6966666666666667
0.2,0.6966666666666667,0.6966666666666667,0.6966666666666667
0.30000000000000004,0.6966666666666667,0.6666666666666666,0.6966666666666667
0.4,0.6966666666666667,0.6966666666666667,0.6966666666666667
0.5,0.6966666666666667,0.6966666666666667,0.6966666666666667
0.6000000000000001,0.6966666666666667,0.6966666666666667,0.6966666666666667
0.7000000000000001,0.6966666666666667,0.6733333333333333,0.6966666666666667
0.8,0.6966666666666667,0.6966666666666667,0.6966666666666667
0.9,0.6966666666666667,0.6966666666666667,0.6966666666666667
1.0,0.6966666666666667,0.7033333333333334,0.6966666666666667
