alpha,mse_cate,mse_baseline
0.0,0.019077891353383458,0.01922720636591479
0.1,0.01925980679197995,0.01922720636591479
0.2,0.019094810526315793,0.01922720636591479
0.30000000000000004,0.01915126709273183,0.01922720636591479
0.4,0.019077891353383458,0.01922720636591479
0.5,0.019077891353383458,0.01922720636591479
0.6000000000000001,0.019173084561403507,0.01922720636591479
0.7000000000000001,0.01904911323308271,0.01922720636591479
0.8,0.01914676714285714,0.01922720636591479
0.9,0.019217892656641603,0.01922720636591479
1.0,0.01922720636591479,0.01922720636591479
